name;city;adress;longitude;latitude
Brovarnia ;Gdańsk;Szafarnia 9;54.34917;18.6604752
Bruderschaft;Gdańsk;Długa 81;54.3496496;18.648543
Cafe Lamus & Lawendowa;Gdańsk;Lawendowa 8;54.352784;18.6530013
Cathead;Gdańsk;Powróźnicza 19/20;54.3475513;18.6551995
Degustatornia;Gdańsk;Grodzka 16;54.3541072;18.659589
Graciarnia;Gdańsk;Dmowskiego 15;54.3795056;18.6071038
Lebeerynt;Gdańsk;Szeroka 97;54.3512131;18.6545028
Loft;Gdańsk;Młyńska 15;54.3533316;18.6496802
Maverick;Gdańsk;Partyzantów 8;54.37696055;18.60530996607
Polufka;Gdańsk;Konrada Leczkowa 18;54.379022;18.618788
Pub Browar Spółdzielczy;Gdańsk;aleja Grunwaldzka 190;54.3854404;18.5927249
Pułapka;Gdańsk;Straganiarska 2;54.3525997;18.6531069
Z Innej Beczki ;Gdańsk;Wajdeloty 10/1;54.3817593;18.6104776
